Year,Area harvested,Production,Yield
1970,643,192,0.2986
1970,7500,3000,0.4
1970,273768,179444,0.6555
1970,85,50,0.5882
1970,5000,2237,0.4474
1970,664096,101707,0.1532
1970,9894,6723,0.6795
1970,107000,30000,0.2804
1970,30760,10160,0.3303
1970,220,109,0.4955
1970,170,114,0.6706
1970,25773,10386,0.403
1970,2700,1800,0.6667
1970,1793,804,0.4484
1970,48000,22000,0.4583
1970,11989,13000,1.0843
1970,6219,2840,0.4567
1970,26560,20200,0.7605
1970,6000,1200,0.2
1970,62000,36000,0.5806
1970,66000,17000,0.2576
1970,43000,11315,0.2631
1970,178072,125639,0.7056
1970,7500,3400,0.4533
1970,8047,5455,0.6779
1971,33600,16800,0.5
1971,6000,2000,0.3333
1971,47515,28977,0.6098
1971,8000,2164,0.2705
1971,6000,3500,0.5833
1971,21980,4008,0.1823
1971,9100,7700,0.8462
1971,17815,6787,0.381
1971,46200,12000,0.2597
1971,22200,11100,0.5
1971,594474,281511,0.4735
1971,591000,280000,0.4738
1971,3474,1511,0.4349
1971,47000,31400,0.6681
1971,300,100,0.3333
1971,150,80,0.5333
1971,4000,2000,0.5
1971,375,234,0.624
1971,11700,5200,0.4444
1971,1975,1890,0.957
1971,17164,20567,1.1983
1971,1300,1400,1.0769
1971,14300,5388,0.3768
1971,7700,6745,0.876
1971,2000,400,0.2
1971,3300,1000,0.303
1971,1185,810,0.6835
1971,2391500,449500,0.188
1971,7500,4500,0.6
1971,17000,14000,0.8235
1971,760,450,0.5921
1971,1106,210,0.1899
1971,8700,3500,0.4023
1971,281172,180294,0.6412
1971,85,50,0.5882
1971,6000,3200,0.5333
1971,793243,132108,0.1665
1971,7804,4655,0.5965
1971,114000,32000,0.2807
1971,41644,13474,0.3236
1971,220,109,0.4955
1971,145,106,0.731
1971,27672,13393,0.484
1971,3000,1597,0.5323
1971,1800,800,0.4444
1971,26000,13300,0.5115
1971,8889,8000,0.9
1971,10086,4258,0.4222
1971,28000,21300,0.7607
1971,6000,1200,0.2
1971,64000,43000,0.6719
1971,103000,31000,0.301
1971,43000,10526,0.2448
1971,169308,93937,0.5548
1971,7400,3000,0.4054
1971,12047,7455,0.6188
1972,34000,20400,0.6
1972,6000,2000,0.3333
1972,47723,25869,0.5421
1972,4000,1089,0.2723
1972,4500,2500,0.5556
1972,34000,5646,0.1661
1972,10000,6600,0.66
1972,11250,5700,0.5067
1972,42600,12000,0.2817
1972,20526,11150,0.5432
1972,602199,260300,0.4322
1972,599000,259000,0.4324
1972,3199,1300,0.4064
1972,43200,28300,0.6551
1972,300,100,0.3333
1972,150,80,0.5333
1972,4000,2000,0.5
1972,401,203,0.5062
1972,10400,4700,0.4519
1972,2982,2090,0.7009
1972,17643,24000,1.3603
1972,1807,2086,1.1544
1972,12200,4228,0.3466
1972,8120,10635,1.3097
1972,2000,400,0.2
1972,5000,1500,0.3
1972,1235,832,0.6737
1972,2288400,385400,0.1684
1972,5000,3000,0.6
1972,12000,7078,0.5898
1972,635,400,0.6299
1972,1246,307,0.2464
1972,9700,3900,0.4021
1972,276495,160572,0.5807
1972,85,50,0.5882
1972,7000,3000,0.4286
1972,698384,113439,0.1624
1972,2823,2212,0.7836
1972,117000,33000,0.2821
1972,29704,10262,0.3455
1972,250,125,0.5
1972,175,147,0.84
1972,30539,14337,0.4695
1972,1672,408,0.244
1972,1800,800,0.4444
1972,30000,17200,0.5733
1972,13439,6706,0.499
1972,32964,9541,0.2894
1972,27520,21300,0.774
1972,6000,1200,0.2
1972,63000,33000,0.5238
1972,91000,28500,0.3132
1972,35000,8015,0.229
1972,107706,59245,0.5501
1972,7400,3000,0.4054
1972,12128,7955,0.6559
1973,36000,22800,0.6333
1973,6000,2000,0.3333
1973,43530,25447,0.5846
1973,2500,601,0.2404
1973,4500,2500,0.5556
1973,30000,5298,0.1766
1973,10000,6500,0.65
1973,10877,5055,0.4647
1973,39300,11000,0.2799
1973,28300,15000,0.53
1973,583895,258659,0.443
1973,581000,257000,0.4423
1973,2895,1659,0.5731
1973,37000,18100,0.4892
1973,300,100,0.3333
1973,150,80,0.5333
1973,4000,2000,0.5
1973,20,10,0.5
1973,10300,4600,0.4466
1973,1000,893,0.893
1973,15123,21000,1.3886
1973,2500,3100,1.24
1973,10280,3655,0.3555
1973,10200,12811,1.256
1973,2000,400,0.2
1973,7000,2000,0.2857
1973,1379,946,0.686
1973,2385800,484600,0.2031
1973,5500,4500,0.8182
1973,13168,5693,0.4323
1973,510,500,0.9804
1973,686,107,0.156
1973,10500,4200,0.4
1973,255166,178169,0.6982
1973,85,50,0.5882
1973,7000,3000,0.4286
1973,496694,70702,0.1423
1973,4298,3481,0.8099
1973,120000,35000,0.2917
1973,32942,12396,0.3763
1973,250,121,0.484
1973,140,111,0.7929
1973,35070,16882,0.4814
1973,656,85,0.1296
1973,1800,800,0.4444
1973,40000,23200,0.58
1973,13413,6913,0.5154
1973,15226,5108,0.3355
1973,34880,23400,0.6709
1973,6500,1300,0.2
1973,47000,26000,0.5532
1973,96000,30700,0.3198
1973,43000,11515,0.2678
1973,151037,78438,0.5193
1973,7200,3000,0.4167
1973,12128,7556,0.623
1974,35760,24000,0.6711
1974,6000,2000,0.3333
1974,51062,28439,0.557
1974,2500,590,0.236
1974,4500,2500,0.5556
1974,25000,8000,0.32
1974,9000,6000,0.6667
1974,9676,5698,0.5889
1974,45722,12851,0.2811
1974,25500,12000,0.4706
1974,537973,227640,0.4231
1974,535000,226000,0.4224
1974,2973,1640,0.5516
1974,32200,17200,0.5342
1974,396,158,0.399
1974,150,80,0.5333
1974,4000,2000,0.5
1974,500,150,0.3
1974,11100,5100,0.4595
1974,1933,1673,0.8655
1974,11392,13910,1.221
1974,2950,3835,1.3
1974,5900,2321,0.3934
1974,10000,10060,1.006
1974,2000,400,0.2
1974,10000,3000,0.3
1974,1335,876,0.6562
1974,2234300,392200,0.1755
1974,6500,4000,0.6154
1974,11610,6391,0.5505
1974,270,150,0.5556
1974,764,133,0.1741
1974,11750,4700,0.4
1974,240257,159865,0.6654
1974,85,50,0.5882
1974,7000,4000,0.5714
1974,794402,154795,0.1949
1974,7034,3864,0.5493
1974,122000,36000,0.2951
1974,22744,8128,0.3574
1974,170,82,0.4824
1974,150,118,0.7867
1974,36974,16877,0.4565
1974,3160,909,0.2877
1974,2000,900,0.45
1974,40000,26500,0.6625
1974,19878,8319,0.4185
1974,33968,13186,0.3882
1974,26240,31100,1.1852
1974,7000,1500,0.2143
1974,46000,29000,0.6304
1974,97000,30000,0.3093
1974,40000,9747,0.2437
1974,174036,71824,0.4127
1974,7300,3200,0.4384
1974,11628,7256,0.624
1975,40000,24000,0.6
1975,6000,2000,0.3333
1975,54301,28876,0.5318
1975,2200,550,0.25
1975,4500,2500,0.5556
1975,25000,7000,0.28
1975,9000,5500,0.6111
1975,15000,8333,0.5555
1975,44154,12407,0.281
1975,28200,10000,0.3546
1975,535066,209018,0.3906
1975,533000,208000,0.3902
