Year,Area harvested,Production,Yield
2007,29780,20010,0.6719
1968,10701,7034,0.6573
1980,950,532,0.56
1964,33590,9140,0.2721
1969,2500,1700,0.68
1993,10,3,0.3
1990,98177,50561,0.515
2017,275,165,0.5995
1975,44154,12407,0.281
2009,475940,621957,1.3068
1982,966045,342661,0.3547
1982,35500,11900,0.3352
1994,84706,34000,0.4014
1998,22337,26225,1.1741
1989,50,40,0.8
2004,624200,703848,1.1276
1997,35000,22000,0.6286
1986,1007795,618386,0.6136
1987,12180,14000,1.1494
1962,2552000,492000,0.1928
2006,7240,4460,0.616
2004,24913,11794,0.4734
1961,11264,10469,0.9294
1990,30940,24370,0.7877
1999,37300,22000,0.5898
2018,279,167,0.5999
1986,31971,11626,0.3636
1999,963557,253200,0.2628
1988,94000,45000,0.4787
2018,4663,2337,0.5011
2013,12000,32000,2.6667
1999,5000,3200,0.64
1978,5594,4094,0.7319
2014,207117,144982,0.7
1976,3809,1614,0.4237
1980,150,100,0.6667
1963,2000,1000,0.5
2005,46294,25060,0.5413
1976,25786,11469,0.4448
2018,70319,28312,0.4026
2018,2081,1886,0.9063
1988,44000,25800,0.5864
2008,139890,46767,0.3343
1992,82000,28000,0.3415
2009,22613,24285,1.0739
1998,29000,13000,0.4483
1992,22814,28295,1.2402
1986,111190,57727,0.5192
1987,7900,2100,0.2658
1995,18000,8300,0.4611
2012,437811,639989,1.4618
1969,604065,258905,0.4286
2017,5364,1771,0.3302
1962,16978,4658,0.2744
2017,1,1,1.0
1979,36480,21700,0.5948
1977,557864,241642,0.4332
1994,24624,27703,1.125
2003,5050,1431,0.2834
2013,16000,10000,0.625
1967,2000,800,0.4
1977,133000,38100,0.2865
1997,15190,10281,0.6768
2005,79250,90193,1.1381
1973,656,85,0.1296
1999,49379,24096,0.488
1973,300,100,0.3333
2010,27083,11342,0.4188
1984,20022,5844,0.2919
1966,800,240,0.3
1964,150,100,0.6667
2010,36907,46146,1.2503
2004,45000,31000,0.6889
2018,42000,29000,0.6905
2003,586,297,0.5072
1976,45000,38800,0.8622
1995,72914,30000,0.4114
1977,6230,3685,0.5915
1996,1992000,640500,0.3215
1996,31538,36807,1.1671
1964,1800,1000,0.5556
1997,17143,6024,0.3514
2000,860,700,0.8140000000000001
1983,165529,86769,0.5242
1969,7000,4000,0.5714
1977,1455,708,0.4866
2014,15452,4134,0.2675
1965,87074,54125,0.6216
1978,605677,111102,0.1834
